Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
Text.Item.ChristmasList	Список бажаного	Weihnachtsliste	Liste de Noël	Lista de Navidad	Список подарков Рождество	Lista di Natale	圣诞节清单	クリスマスリスト
Text.Item.PantomimeScript	Сценарій пантоміми	Skript des Weihnachtsspiels	Script du spectacle de Noël	Guión de la obra	Сценарий пантомимы	Copione della recita	舞剧剧本	劇の脚本
Text.Item.JarOfMince	Банка з фаршем	Glas mit Zutaten für Mince Pie	Bocal de fruits secs	Bote de carne picada	Начинка для пирога	Vasetto di macinato	一罐肉馅	ミンスミート
Text.Item.WoodenSoldier	Дерев’яний солдатик	Holzsoldat	Soldat en bois	Soldado de madera	Деревянный солдат	Soldatino di legno	木头士兵	木の兵隊
Text.Item.TreeDecorations	Ялинкові прикраси	Baumschmuck	Décorations de Noël	Adornos de árbol	Елочные украшения	Addobbi per l’albero	圣诞树装饰	ツリーの飾り
Text.Item.Fabric	Тканина	Stoff	Tissu	Tela	Ткань	Tessuto	织物	生地
Text.Item.Holly	Гілка падуба	Mistelzweig	Brin de houx	Rama de acebo	Ветка остролиста	Rametto di agrifoglio	冬青树枝	ヒイラギの小枝
Text.Item.WrappingPaper	Обгортковий папір	Geschenkpapier	Papier cadeau	Papel de regalo	Оберточная бумага	Carta da regalo	包装纸	包み紙
Text.Item.LetterToSanta	Лист Санті	Brief an den Weihnachtsmann	Lettre au père Noël	Carta a Santa Claus	Письмо Санта-Клаусу	Letterina a Babbo Natale	给圣诞老人的信	サンタへの手紙
Text.Item.PantoHorseFront	Кінь для пантоміми (перед)	Weihnachtspferd (Vorderteil)	Cheval du spectacle de Noël (avant)	Caballo de atrezo (cabeza)	Лошадь из пантомимы (перед)	Cavallo della recita (fronte)	舞剧道具马（前半）	馬のはりぼて（頭）
Text.Item.PantoHorseRear	Кінь для пантоміми (зад)	Weihnachtspferd (Hinterteil)	Cheval du spectacle de Noël (derrière)	Caballo de atrezo (trasero)	Лошадь из пантомимы (зад)	Cavallo della recita (retro)	舞剧道具马（后半）	馬のはりぼて（胴）
Text.Item.MincePie	Фаршовий пиріг	Mince Pie	Tarte aux fruits secs	Pastel de carne	Пирог с начинкой	Pasticcio di macinato	肉馅饼	ミンスパイ
Text.Item.PaintedWoodenSoldier	Пофарбований дерев’яний солдатик	Bemalter Holzsoldat	Soldat en bois peint	Soldado de madera pintado	Раскрашенный деревянный солдат	Soldatino di legno dipinto	上了色的木头士兵	塗装した木の兵隊
Text.Item.Christmace	Різдвобитка	Weihnachtskeule	Massue de Noël	Spray de pimienta festivo	Жезл	Mazza di Natale	圣诞权杖	クリスメイス
								
Text.Auditions.Header	Проби!	Castings!	Auditions !	¡Audiciones!	Кастинг!	Audizioni!	试镜！	オーディション開催中！
