Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
Text.Item.Balloon	Кулька	Ballon	Ballon	Globo	Воздушный шарик	Palloncino	气球	風船
Text.Item.BowTie	Краватка-метелик	Fliege	Nœud papillon	Pajarita	Галстук-бабочка	Papillon	领结	蝶ネクタイ
Text.Item.Horn	Клаксон	Horn	Corne	Bocina	Рог	Corno	喇叭	ぱふぱふラッパ
Text.Item.ChatteringTeeth	Стукітливі зубки	Klappernde Zähne	Dents claquantes	Dientes castañeantes	Прыгающие зубы	Dentiera	打颤牙齿	カチカチ歯
Text.Item.RubberChicken	Ґумова курка	Gummihuhn	Poulet en plastique	Pollo de goma	Резиновая курица	Pollo di gomma	橡皮鸡	ゴムチキン
Text.Item.FacePaints	Грим	Gesichtsfarben	Maquillage	Pintura facial	Грим	Pitture per il viso	脸部涂料	フェイスペイント
Text.Item.Steak	Стейк	Steak	Steak	Filete	Стейк	Bistecca	肉排	ステーキ
Text.Item.CircusPoster	Циркова афіша	Zirkusposter	Affiche de cirque	Póster circense	Цирковая афиша	Manifesto del circo	马戏团海报	サーカスのポスター
Text.Item.SquirtyFlower	Квіточка-бризкалка	Spritzblume	Fleur à eau	Flor de agua	Брызгающийся цветок	Fiore che spruzza	喷射花	花水鉄砲
Text.Item.CanOfCustard	Заварний крем	Eiercremedose	Boîte de crème	Lata de crema	Банка заварного крема	Barattolo di crema	一罐蛋奶	カスタード缶
Text.Item.Coconut	Кокос	Kokosnuss	Noix de coco	Coco	Кокос	Cocco	椰子	ココナッツ
Text.Item.Spring	Пружина	Feder	Ressort	Muelle	Пружина	Molla	弹簧	バネ
Text.Item.Keys	Ключі від вольєрів	Gehegeschlüssel	Clés de l'enclos	Llaves de recinto	Ключи от вольеров	Chiavi del recinto	围场钥匙	檻のカギ
Text.Item.SuperRubberChicken	Суперґумова курка	Supergummihuhn	Gros poulet en plastique	Superpollo de goma	Суперрезиновая курица	Super pollo di gomma	超级橡胶鸡	スーパーゴムチキン
Text.Item.BalloonAnimal	Тваринка з кульки	Ballontier	Animal en ballons	Animal de globos	Животное из шарика	Palloncino a forma di animale	气球动物	バルーンアニマル
Text.Item.WindUpMouse	Завідна мишка	Aufziehmaus	Souris mécanique	Ratón de cuerda	Заводная мышь	Topo a manovella	发条老鼠	ぜんまいネズミ
Text.Item.CustardPie	Кремовий пиріг	Sahnetorte	Tarte à la crème	Pastel de crema	Пирог с заварным кремом	Torta alla crema	蛋奶派	カスタードパイ
Text.Item.MakeshiftHelmet	Саморобний шолом	Provisorischer Helm	Casque de fortune	Casco improvisado	Самодельный шлем	Casco di fortuna	临时头盔	即席ヘルメット
Text.Item.MakeshiftLauncher	Саморобний запускач	Provisorischer Werfer	Lanceur de fortune	Lanzador improvisado	Самодельная пусковая установка	Mortaio di fortuna	临时发射器	即席ランチャー
Text.Item.GlueReadiedPoster	Клеєна афіша	Kleberbestrichenes Poster	Affiche à coller	Póster preparado con pegamento	"Афиша, намазанная клеем"	Manifesto preparato con la colla	粘好胶水的海报	のり付けしたポスター
								
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////								
								
Text.JobName.LionFeeding	Годувач левів	Löwenfüttern	Nourrir les lions	Alimentar a los leones	Кормить львов	Sfamare i leoni	喂狮子	ライオンの餌やり
Text.JobDesc.LionFeeding	"Це як годування домашнього кота, крім того, що лев більший та зубастіший. "	"Genau wie eine Hauskatze, bloß viel größer und spitzer. "	"C'est comme nourrir un chat, mais en plus gros et plus pointu. "	"Es como un gato doméstico, pero mucho más grande y con garras más afiladas. "	"Похож на обычную кошку, только гораздо больше и опаснее. "	"È proprio come un gatto domestico, solo più grande e con i denti più affilati. "	看起来就像家猫， 但是更大更凶猛。  	基本は飼い猫と一緒だ。 ただ図体がでかく、 爪やら牙やらが鋭いだけで。 
								
HUD.Tutorial.Job.LionFeedingBodyTextA	Візьміть стейк із коробки.	Nimm das Steak aus dem Container.	Prenez le steak dans le conteneur.	Coge el filete del contenedor.	Возьмите стейк из контейнера.	Prendi la Bistecca dal contenitore.	从箱子里拿肉排。 	コンテナから「ステーキ」を入手する。 
HUD.Tutorial.Job.LionFeedingBodyTextB	"Увійдіть у вольєр та станьте на підніжжя."	Betritt das Gehege und stell dich auf das Podest.	Entrez dans un enclos et placez-vous debout sur l'estrade.	Entra en un recinto y súbete a la tarima.	Подойдите к вольеру и встаньте на возвышение.	Entra nel Recinto e sali sulla Pedana.	走入围场并站在台上。 	檻の中へ入り、演台に立つ。 
HUD.Tutorial.Job.LionFeedingBodyTextC	Погодуйте левів.	Füttere die Löwen.	Donnez à manger aux lions.	Alimenta a los leones.	Покормите львов.	Sfama i Leoni.	喂狮子。 	ライオンにエサをやる。 
								
HUD.Interact.Job.LionFeedingMeat	М’ясо	Fleisch	Viande	Carne	Мясо	Carne	肉	肉
								
								
HUD.Interact.Job.LionFeedingNeedMeat	Мені потрібне м’ясо	Ich brauche etwas Fleisch	J’ai besoin de viande	Necesito carne	Мне нужно мясо	Mi serve della Carne	我需要一些肉	肉が必要だ
HUD.Interact.Job.LionFeedingStand	Погодувати лева	Löwen füttern	Nourrir le lion	Alimentar león	Покормить льва	Sfama il Leone	喂狮子	ライオンに餌をやる
								
&Text.Customer.LionFed	Р-Р-Р-РИ-И-ИК	BRÜÜÜÜÜÜÜÜÜÜLL	GRRRAAAOOOUUU	GROAAAAARRR	ГР-Р-Р-Р-Р-Р-Р-Р-Р	RROOOAAAAARRR	嗷嗷嗷嗷嗷	ウガアァァァッツ
								
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////								
								
Text.JobName.FacePainting	Гримування	Gesichtsbemalung	Maquillage	Pintar caras	Нанесение грима	Face-painting	脸部彩绘	フェイスペイント
Text.JobDesc.FacePainting	"Жодних художніх навичок не потрібно, просто дотримуйтесь узгодженого дизайну."	"Halt dich an die vereinbarten Designs, keine künstlerischen Fertigkeiten benötigt."	"Suivez les dessins, aucun talent artistique n'est nécessaire."	"Según los diseños acordados, no se necesitan habilidades artísticas."	"Выполняйте всё по схеме, давать волю творчеству не нужно."	"Segui i disegni, non sono richieste competenze artistiche."	参照已完成的图案便可， 不需要艺术技巧。 	お手本どおりに顔を塗るだけ。 芸術的センスは一切必要ない。 
								
HUD.Interact.Job.FacePaintingStepA	Візьміть із коробки грим. 	Nimm die Gesichtsfarben aus dem Container. 	Prenez le maquillage dans le conteneur. 	Coge las pinturas faciales del contenedor. 	Возьмите грим из контейнера. 	Prendi le Pitture per il viso dal contenitore. 	在容器中拿一些脸部涂料。  	コンテナから「フェイスペイント」を入手する。 
HUD.Interact.Job.FacePaintingStepB	Клієнти заходитимуть у шатро та сідатимуть.	Kunden werden das Zelt betreten und sich setzen.	Les clients entreront dans la tente pour s'asseoir.	Los clientes entrarán en la carpa y se sentarán.	Клиенты войдут в палатку и сядут.	I clienti entreranno nel tendone e si accomoderanno.	客人们会进入帐篷并坐好。 	客がテントへ入り、座るのを待つ。 
HUD.Interact.Job.FacePaintingStepC	"Встаньте перед клієнтом та нанесіть грим. "	Stell dich vor den Kunden und trage die Gesichtsfarben auf. 	Placez-vous devant le client et appliquez le maquillage. 	Ponte frente al cliente y aplícale la pintura facial. 	Встаньте напротив клиента и нанесите грим. 	Mettiti davanti al cliente e applica le pitture per il viso. 	站在客人面前，并使用脸部涂料。  	客の前に立って、顔にペイントする。 
								
Text.Interact.PaintFace	Нанести грим	Gesicht bemalen	Maquiller	Pintar cara	Нанести грим	Pittura il viso	脸部彩绘	顔に色を塗る
								
&Text.Customer.WaitingForServiceFacePaint	Тут є хтось?	Ist da jemand?	Il y a quelqu'un ?	¿Hay alguien aquí?	Здесь кто-нибудь есть?	C’è nessuno qui?	附近有人吗？ 	誰かいますか～？
&Text.Customer.WaitingForServiceFacePaint	"А мене сьогодні обслужать, будь ласка?"	"Irgendwann heute noch, bitte"	"J'aimerais que ce soit rapide, s'il vous plaît"	"Que venga alguien, por favor"	"Надеюсь, что меня обслужат в этом году"	"Entro oggi, per favore"	在今天的某个时候， 拜托了	ちょっと塗ってくれない？
&Text.Customer.WaitingForServiceFacePaint	У мене скоро прострочиться паркувальний білет	Mein Parkticket läuft bald ab	Mon ticket de parking va bientôt expirer	Voy a tener que renovar el billete de aparcamiento	"Мне нельзя долго ждать, парковка оплачена"	Non ho molto tempo prima che mi scada il biglietto del parcheggio	我的停车罚单快要过期了。 	急がないと駐禁とられる～
								
								
&Text.Customer.Facepainted	Чудова робота!	Tolle Arbeit!	Excellent travail !	¡Un trabajo increíble!	Отлично!	Stupefacente!	干得好！ 	すっばらしぃ～！
&Text.Customer.Facepainted	Майже те, чого хотілось!	"Nah genug an dem, was ich wollte!"	C'est presque ce que j'avais demandé !	¡Es casi lo que pedí!	"Ну, примерно этого мне и хотелось."	Quasi come avevo chiesto!	足够接近我的要求！ 	ほぼ注文どおり！
&Text.Customer.Facepainted	Піде	Sollte reichen	Ça fera l'affaire	Con esto servirá	Сойдет	Mi accontenterò	这会奏效的	これでいいや
&Text.Customer.Facepainted	"Ем-м, ну, най буде"	"Ehm, ja ok"	"Euh, d'accord"	"Eh, bueno, vale"	"Эм, ну ладно"	"Ehm, non c’è male"	嗯， 好的	うーん、まあまあかな
&Text.Customer.Facepainted	Хіба я це просив?	"Das ist nicht, wonach ich gebeten hatte?"	Ce n'est pas du tout ce que j'avais demandé	Eso no es lo que pedí	Мне представлялось совсем не это	Non è proprio come avevo chiesto...	那不是我要的吗？ 	注文と違うけど？
								
								
&Text.Customer.FacePaintingInProgress	Вам то СПОДОБАЄТЬСЯ	Das wirst du LIEBEN	Vous allez ADORER	Te va a ENCANTAR	Вам это точно ПОНРАВИТСЯ	Ti piacerà DA MATTI	你会爱上这个的	きっと気に入りますよ
&Text.Customer.FacePaintingInProgress	"Не вмію такого, але можу зробити отаке"	"Nie gehört, aber ich könnte stattdessen das hier machen"	"Connais pas, mais je peux faire ça à la place"	"No me suena de nada, pero puedo hacer otra cosa"	"Первый раз слышу, лучше сделаю кое-что другое"	"Non ne ho mai sentito parlare, ma potrei fare questo invece"	从来没有听说过它， 但是我可以做这个	それは存じませんが、かわりにこれを
&Text.Customer.FacePaintingInProgress	"Даруйте, не чув про таке"	"Tut mir leid, das kenne ich nicht"	"Désolé, je ne connais pas celui-là"	"Lo siento, no tengo ni idea de lo que me pides"	"Простите, я не знаю, как это делается"	"Mi spiace, non lo conosco"	抱歉， 我对那个并不熟悉	すみません、それはちょっと
								
								
HUD.Interact.Job.NeedFacePaint	Мені потрібен грим…	Ich brauche etwas mehr Gesichtsfarbe …	Il me faut plus de maquillage…	Necesito más pintura facial...	Мне нужно больше грима...	Mi serve altra Pittura per il viso...	我需要更多的脸部涂料…… 	フェイスペイントが必要だ…
								
HUD.Interact.Job.FacePaintStepA	Грим	Gesichtsfarbe	Maquillage	Pintura facial	Грим	Pittura per il viso	脸部涂料	フェイスペイント
								
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////								
								
Text.JobName.HangingPosters	Вішання афіш	Poster aufhängen	Coller les affiches	Colgar pósteres	Расклеивать афиши	Affissione manifesti	挂海报	ポスター貼り
Text.JobDesc.HangingPosters	Розвішуйте афіші сьогоднішнього шоу.	Häng Poster für die heutige Show auf.	Collez les affiches pour le spectacle de ce soir.	Coloca los pósteres para la función de esta noche.	Расклейте афиши для вечернего представления.	Attacca i manifesti per lo spettacolo di questa sera.	为今晚的演出张贴海报。 	今夜のショーのポスターを 貼ってくれ。 
								
HUD.Tutorial.Job.HangingPostersBodyTextA	Візьміть із коробки клей та циркову афішу.	Nimm den Kleber und Zirkusposter aus dem Container.	Prenez la colle et l'affiche de cirque dans le conteneur.	Coge el pegamento y el póster circense del contenedor.	Возьмите из контейнера клей и цирковую афишу.	Prendi la Colla e il Manifesto del circo dal contenitore.	从箱子中拿些胶水和马戏团的海报。 	コンテナから「接着剤」と「サーカスのポスター」を入手する。 
HUD.Tutorial.Job.HangingPostersBodyTextB	Змайструйте клеєну афішу.	Fertige ein Kleberbestrichenes Poster.	Fabriquez une affiche à coller	Crea un póster preparado con pegamento.	"Изготовьте афишу, намазанную клеем."	Crea un Manifesto preparato con la colla.	制作一张粘好胶水的海报	「のり付けしたポスター」を作る。 
HUD.Tutorial.Job.HangingPostersBodyTextC	Повісьте клеєну афішу на дошці поза цирком.	Platziere die Kleberbestrichenen Poster an den Tafeln außerhalb des Zirkuszelts.	Placez les affiches à coller sur les panneaux à l'extérieur du Big Top.	Coloca los pósteres preparados con pegamento en el tablón situado fuera de la carpa principal.	Разместите намазанные клеем афиши на стендах снаружи цирка.	Posiziona il Manifesto preparato con la colla sulle Bacheche all’esterno del Tendone principale.	将粘好胶水的海报布置在马戏团帐篷外的布告板上。 	「のり付けしたポスター」をテントの外の掲示板に貼る。 
								
HUD.Interact.Job.HangingPostersStepA	Афіші	Poster	Affiches	Pósteres	Афиши	Manifesto	海报	ポスター
HUD.Interact.Job.HangingPostersStepB	Повісити афішу	Poster aufhängen	Coller l'affiche	Colgar póster	Повесить афишу	Appendi il manifesto	挂海报	ポスターを貼る
								
HUD.Interact.Job.HangingPosters.NoPosterEquipped	Потрібна клеєна афіша!	Ich brauche ein Kleberbestrichenes Poster!	J’ai besoin d’une affiche à coller !	¡Necesito un póster preparado con pegamento!	"Мне нужна афиша, намазанная клеем!"	Mi serve un Manifesto preparato con la colla!	我需要一张粘好胶水的海报！ 	「のり付けしたポスター」が必要だ！
								
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////								
								
Text.JobName.BalloonAnimals	Кулькороб	Ballonkünstler	Sculpteur de ballons	Artista de los globos	Моделирование шариков	Artista dei palloncini	气球艺术家	風船アーティスト
Text.JobDesc.BalloonAnimals	"Не хизуйтесь, ці кульки — дорогі."	"Halt es einfach, diese Ballons sind teuer."	"Faites simple, ces ballons coûtent cher."	"No te compliques, esos globos son caros."	"Не усложняйте, эти воздушные шарики дорого стоят."	"Non esagerare, quei Palloncini sono costosi."	不用那么麻烦， 这些气球很贵。 	シンプルに頼む、 この風船は高いんだ。 
								
HUD.Tutorial.Job.BalloonAnimalBodyTextA	Візьміть із коробки три кульки.	Nimm drei Ballons aus dem Container.	Prenez trois ballons dans le conteneur.	Coge tres globos del contenedor.	Возьмите три воздушных шарика из контейнера.	Prendi tre Palloncini dal contenitore.	从箱子里拿三个气球。 	コンテナから「風船」を3個、入手する。 
HUD.Tutorial.Job.BalloonAnimalBodyTextB	Змайструйте тваринку з кульки.	Fertige ein Ballontier.	Fabriquez un animal en ballons.	Crea un animal con globos.	Сделайте животное из шариков.	Crea un Palloncino a forma di animale	制作一个气球动物。 	「バルーンアニマル」を作る。 
