Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
OVERRIDE=DLC03								
								
&Text.NPC.Warden	В’язні навіть не уявляють, наскільки їм поталанило…	"Die Insassen wissen nicht, wie gut es ihnen hier geht …"	Les prisonniers ne réalisent pas à quel point ils sont chanceux...	Los presos no saben la suerte que tienen...	"Заключенные не понимают, как им повезло..."	I detenuti non capiscono quanto siano fortunati...	囚犯们都没有意识到他们有多幸运……	囚人たちはどんなに恵まれているか、 わかっていない… 
&Text.NPC.Warden	Схоже, надворі зимно!	"Sieht kalt aus, da draußen!"	Il a l'air de faire froid dehors !	¡Hace frío fuera!	"Похоже, снаружи холодно!"	Sembra che faccia freddo fuori!	外面看上去很冷啊！	外は寒そうだ！ 
&Text.NPC.Warden	Яка чудова пора року	Was für eine wunderschöne Jahreszeit.	Quelle merveilleuse période de l'année.	Qué época del año tan maravillosa.	Какое прекрасное время года.	Questo periodo dell’anno è stupendo.	每年的这个时候真是太美妙了。	一年でもっとも美しい季節だ
&Text.NPC.Warden	Звичайно, я в списку слухняних дітей 	Ich war dieses Jahr ganz brav. 	Je suis forcément sur la liste des plus sages. 	Este año me he portado bien. 	Я-то точно в списке послушных ребят. 	Di sicuro io sono sulla lista dei buoni. 	我当然是在好孩子名单上的。 	私には当然、 プレゼントが届くさ
&Text.NPC.Warden	Нема таких проблем, які би не вирішив театр!	"Es gibt kein Problem, das man nicht mit ein bisschen Theater lösen kann!"	Il n'y a rien que le théâtre ne puisse pas résoudre !	¡No hay nada que un poco de teatro no arregle!	"Нет такой проблемы, которую нельзя было бы решить хорошей театральной постановкой!"	Non c’è un problema che un po’ di teatro non possa risolvere!	没什么是一点戏剧不能解决的！	どんな悩みも、 劇を見れば吹っ飛ぶ！ 
&Text.NPC.Warden	Цей постановник вартий кожної витраченої копійки!	Dieser Produzent ist jeden Cent wert!	Ce producteur vaut chaque centime !	¡Ese productor vale su peso en oro!	Этот продюсер стоит каждого пенни!	Quel produttore vale ogni centesimo speso!	那个制作人真是对得起他的价钱！	あのプロデューサーは本物だ！ 
&Text.NPC.Warden	"Поки я пишу сценарій, ще й оновлюю його!"	"Ich schreibe nicht nur das Skript, sondern auch die Kritiken dazu!"	Je relis le script tout en l'écrivant !	"¡Mientras escribo el guión, también lo reviso!"	Я пишу сценарий и рецензирую его!	Mentre scrivo il copione lo sto anche revisionando!	我写剧本的时候，同时也在检查它！	脚本は書きながら直していく！ 
&Text.NPC.Warden	Я, знаєте, ще й книгу пишу	"Ich habe auch ein Buch geschrieben, weißt du?"	"J'ai également écrit un livre, vous savez ?"	"También he escrito un libro, ¿sabías?"	"А еще у меня, знаете ли, книга вышла."	"Ho scritto anche un libro, eh."	我还写过一本书你知道吗。	自分の著作だってあるのだぞ
&Text.NPC.Warden	Хотів би я, аби ми арештували якогось лицедія	"Ich wünschte, wir würden einen echten Schauspieler einsperren."	J'aimerais qu'on arrête quelqu'un qui sait jouer la comédie.	Ojalá encerrasen a alguien que supiese actuar.	"Как жаль, что мы не арестовали кого-нибудь с актерскими способностями."	Vorrei che arrestassimo qualcuno che sa recitare.	我希望我们能逮捕一个会表演的人。	できれば演技ができる者を収監したい
&Text.NPC.Warden	"Я марную свій талант у цьому місці, це правда…"	Meine Anwesenheit hier ist wie Perlen vor die Säue …	Je gâche vraiment mon talent ici...	"Aquí se desperdicia mi talento, de verdad..."	"Мои таланты здесь пропадают впустую, это правда..."	"Il mio talento qui è sprecato, oh sì..."	我的天分在这里完全是被浪费了，他们真是……	わが才能が浪費されてゆく、  嘆かわしい… 
								
								
&Text.Guards.RollCallStart	"Перш ніж спитаєте… Ні, то не вам"	"Bevor ihr fragt … Nein, die sind nicht für euch."	"Avant que vous posiez la question... Non, ce n'est pas pour vous."	"Antes de que preguntes... No, no son para ti."	"Прежде чем ты спросишь... нет, это не для тебя."	"Prima che lo chiediate... No, non sono per voi."	在你们提问之前……不，它们不是给你们的。	先に言っておくが… いかにも、 あれは囚人用ではない
&Text.Guards.RollCallStart	Що ж, тоді	Also dann.	Très bien.	Bien.	Ну что ж.	"Bene, allora."	就在那时。	それでは、 と
&Text.Guards.RollCallStart	"Пики вперед, без балачок!"	Nach vorne schauen und Ruhe geben!	"Regardez devant, et pas un mot !"	"¡Vista al frente, sin hablar!"	Смотреть вперед! И без разговоров!	Guardate avanti! Silenzio!	直视前方，不要说话！	前を向け！ 口を閉じろ！ 
&Text.Guards.RollCallStart	Усі, слухайте!	Alle mal herhören!	Écoutez-moi bien !	¡Oídme bien!	Слушайте все!	"Ascoltate, gente!"	所有人听好了！	全員よく聞け！ 
&Text.Guards.RollCallStart	Неважливо, яка зараз пора року	"Es ist egal, welche Jahreszeit wir haben."	Peu importe la période de l'année.	No importa la época del año que sea.	"Неважно, какое сейчас время года."	Non importa quale periodo dell’anno sia.	不管这是一年中的什么时候。	今がクリスマスだろうが関係ない
								
								
&Text.Guards.RollCallMain	Чоколяди на деревах лише для персоналу	Die Süßigkeiten an den Bäumen sind nur für das Personal.	Les chocolats accrochés aux arbres sont réservés au personnel.	Los bombones y los árboles son solo para el personal.	Шоколадные конфеты на елках — только для персонала.	I cioccolatini appesi agli alberi sono solo per il personale.	树上的巧克力都只有守卫能拿。	ツリーのチョコは職員専用だ
&Text.Guards.RollCallMain	Це найпрекрасніша пора року. Мабуть 	Es ist die schönste Zeit des Jahres. Anscheinend. 	C'est la plus belle période l'année. Apparemment. 	Es la época más maravillosa del año. Eso dicen. 	Это самое прекрасное время года. По всей видимости. 	È il periodo più bello dell’anno. A quanto pare. 	这是一年中最美妙的时候。看上去是。 	一年でもっとも美しい季節か。たしかにな
&Text.Guards.RollCallMain	"А щодо мене, то я вже у відпусці"	"Wenn es nach mir ginge, wäre ich längst im Urlaub."	"En ce qui me concerne, je suis déjà en vacances."	"En lo que a mí respecta, ya estoy de permiso."	"Что касается меня, я уже в отпуске."	"Per quanto mi riguarda, io sono già in ferie."	在我看来，我已经在放假了。	個人的にはもう休暇中なんだが
